Tree,QS,FN,,
2,6899,0.125,,
2,6779,0.375,,
2,6716,0.375,,
2,6329,0.5,,
2,6329,0.5,,
2,5839,0.625,,
2,5834,0.625,,
2,5163,0.75,,
2,5183,0.75,,
2,5006,0.875,,
2,4992,0.875,,
2,4945,0.75,,
2,4979,0.75,,
2,4770,0.875,,
2,4768,0.875,,
2,6779,0.375,,
2,6716,0.375,,
2,6116,0.5,,
2,6116,0.5,,
2,5376,0.625,,
2,5386,0.625,,
2,4334,0.75,,
2,4374,0.75,,
2,4070,0.875,,
2,4042,0.875,,
2,4066,0.75,,
2,3998,0.75,,
2,3698,0.875,,
2,3694,0.875,,
2,6899,0.125,,
2,6836,0.25,,
2,6469,0.375,,
2,6469,0.375,,
2,5749,0.5,,
2,5734,0.5,,
2,4621,0.625,,
2,4681,0.625,,
2,4300,0.75,,
2,4258,0.75,,
2,4267,0.625,,
2,4369,0.625,,
2,3892,0.75,,
2,3886,0.75,,
2,6836,0.25,,
2,6899,0.125,,
2,6724,0.25,,
2,6710,0.25,,
2,6260,0.375,,
2,6260,0.375,,
2,5765,0.5,,
2,5770,0.5,,
2,5094,0.625,,
2,5114,0.625,,
2,4937,0.75,,
2,4923,0.75,,
2,4910,0.625,,
2,4876,0.625,,
2,4701,0.75,,
2,4699,0.75,,
2,6899,0.125,,
2,6836,0.25,,
2,6668,0.375,,
2,6619,0.375,,
2,6169,0.5,,
2,6169,0.5,,
2,5674,0.625,,
2,5679,0.625,,
2,5003,0.75,,
2,5023,0.75,,
2,4846,0.875,,
2,4832,0.875,,
2,4819,0.75,,
2,4785,0.75,,
2,4610,0.875,,
2,4608,0.875,,
2,6716,0.375,,
2,6779,0.375,,
2,6675,0.375,,
2,6675,0.375,,
2,6469,0.375,,
2,6469,0.375,,
2,5974,0.5,,
2,5979,0.5,,
2,5303,0.625,,
2,5323,0.625,,
2,5146,0.75,,
2,5132,0.75,,
2,5119,0.625,,
2,5085,0.625,,
2,4910,0.75,,
2,4908,0.75,,
2,6779,0.375,,
2,6716,0.375,,
2,6597,0.375,,
2,6534,0.375,,
2,6459,0.375,,
2,6439,0.375,,
2,5555,0.5,,
2,5635,0.5,,
2,5227,0.625,,
2,5171,0.625,,
2,5283,0.5,,
2,5419,0.5,,
2,4883,0.625,,
2,4875,0.625,,
2,6149,0.5,,
2,6140,0.5,,
2,6469,0.375,,
2,5973,0.5,,
2,5964,0.5,,
2,6469,0.375,,
2,6459,0.375,,
2,6439,0.375,,
2,5763,0.5,,
2,5783,0.5,,
2,5606,0.625,,
2,5592,0.625,,
2,5579,0.5,,
2,5545,0.5,,
2,5370,0.625,,
2,5368,0.625,,
2,6049,0.5,,
2,5995,0.5,,
2,6469,0.375,,
2,5743,0.5,,
2,5689,0.5,,
2,6469,0.375,,
2,6539,0.375,,
2,6639,0.375,,
2,6254,0.5,,
2,6184,0.5,,
2,6449,0.375,,
2,6619,0.375,,
2,6074,0.5,,
2,6064,0.5,,
2,5669,0.625,,
2,5660,0.625,,
2,5989,0.5,,
2,5493,0.625,,
2,5484,0.625,,
2,5989,0.5,,
2,6439,0.375,,
2,6459,0.375,,
2,6639,0.375,,
2,6539,0.375,,
2,6498,0.5,,
2,6518,0.5,,
2,6444,0.375,,
2,6429,0.375,,
2,6266,0.5,,
2,6264,0.5,,
2,5109,0.625,,
2,5064,0.625,,
2,5709,0.5,,
2,4729,0.625,,
2,4684,0.625,,
2,5709,0.5,,
2,6459,0.375,,
2,6439,0.375,,
2,6683,0.375,,
2,6633,0.375,,
2,6819,0.25,,
2,7004,0.125,,
2,6501,0.375,,
2,6489,0.375,,
2,4465,0.75,,
2,4447,0.75,,
2,5005,0.625,,
2,4163,0.75,,
2,4145,0.75,,
2,5005,0.625,,
2,5755,0.5,,
2,5747,0.5,,
2,6539,0.375,,
2,6639,0.375,,
2,6819,0.25,,
2,7004,0.125,,
2,6763,0.25,,
2,6761,0.25,,
2,4203,0.75,,
2,4176,0.75,,
2,4863,0.625,,
2,3825,0.75,,
2,3798,0.75,,
2,4863,0.625,,
2,5763,0.5,,
2,5751,0.5,,
2,6639,0.375,,
2,6539,0.375,,
2,6633,0.375,,
2,6683,0.375,,
2,6780,0.375,,
2,6766,0.375,,
2,5156,0.875,,
2,5147,0.875,,
2,5476,0.75,,
2,4980,0.875,,
2,4971,0.875,,
2,5476,0.75,,
2,5926,0.625,,
2,5922,0.625,,
2,6418,0.5,,
2,6428,0.5,,
2,6683,0.375,,
2,6633,0.375,,
2,6558,0.375,,
2,6638,0.375,,
2,6490,0.5,,
2,6497,0.5,,
2,5066,0.875,,
2,5057,0.875,,
2,5386,0.75,,
2,4890,0.875,,
2,4881,0.875,,
2,5386,0.75,,
2,5836,0.625,,
2,5832,0.625,,
2,6328,0.5,,
2,6418,0.5,,
2,6633,0.375,,
2,6683,0.375,,
2,6606,0.375,,
2,6711,0.375,,
2,6571,0.5,,
2,6562,0.5,,
2,5567,0.625,,
2,5558,0.625,,
2,5887,0.5,,
2,5391,0.625,,
2,5382,0.625,,
2,5887,0.5,,
2,6337,0.375,,
2,6333,0.375,,
2,6829,0.25,,
2,6779,0.25,,
2,7004,0.125,,
2,6819,0.25,,
2,6698,0.375,,
2,6702,0.375,,
2,6766,0.375,,
2,6780,0.375,,
2,4440,0.75,,
2,4422,0.75,,
2,4980,0.625,,
2,4138,0.75,,
2,4120,0.75,,
2,4980,0.625,,
2,5730,0.5,,
2,5722,0.5,,
2,6514,0.375,,
2,6464,0.375,,
2,6819,0.25,,
2,7004,0.125,,
2,6787,0.25,,
2,6833,0.25,,
2,5009,0.875,,
2,5000,0.875,,
2,5329,0.75,,
2,4833,0.875,,
2,4824,0.875,,
2,5329,0.75,,
2,5779,0.625,,
2,5775,0.625,,
2,6271,0.5,,
2,6246,0.5,,
2,6526,0.375,,
2,6608,0.375,,
2,6780,0.375,,
2,6472,0.5,,
2,6503,0.5,,
2,6766,0.375,,
2,4968,0.875,,
2,4959,0.875,,
2,5288,0.75,,
2,4792,0.875,,
2,4783,0.875,,
2,5288,0.75,,
2,5738,0.625,,
2,5734,0.625,,
2,6230,0.5,,
2,6205,0.5,,
2,6500,0.375,,
2,6603,0.375,,
2,6766,0.375,,
2,6475,0.5,,
2,6490,0.5,,
2,6780,0.375,,
3,6534,0.125,,
3,6054,0.25,,
3,6618,0.25,,
3,7004,0.125,,
3,4063,0.625,,
3,6626,0.25,,
3,6039,0.25,,
3,4695,0.875,,
3,6225,0.375,,
3,6209,0.25,,
3,6534,0.125,,
3,6899,0.125,,
3,6519,0.25,,
3,7004,0.125,,
3,5800,0.5,,
3,6799,0.125,,
3,6809,0.125,,
3,6795,0.125,,
3,6426,0.375,,
3,5489,0.625,,
3,6504,0.125,,
3,4764,0.75,,
3,5415,0.5,,
3,5975,0.25,,
3,6534,0.125,,
3,4889,0.875,,
3,5354,0.625,,
3,4860,0.5,,
3,6035,0.375,,
3,5091,0.375,,
3,4960,0.5,,
3,3763,0.75,,
3,4948,0.5,,
3,6346,0.375,,
3,7004,0.125,,
3,5774,0.25,,
3,4835,0.875,,
3,6084,0.25,,
3,5702,0.375,,
3,5592,0.375,,
3,5984,0.25,,
3,4435,0.625,,
3,5555,0.5,,
3,5354,0.625,,
3,6809,0.125,,
3,6345,0.25,,
3,6809,0.125,,
3,5109,0.375,,
3,6921,0.125,,
3,6760,0.25,,
3,4852,0.75,,
3,3791,0.75,,
3,5599,0.375,,
3,6504,0.125,,
3,5484,0.625,,
3,6664,0.25,,
3,5944,0.25,,
3,6799,0.125,,
3,6809,0.125,,
3,6691,0.25,,
3,5435,0.5,,
3,5046,0.75,,
3,4864,0.5,,
3,6613,0.25,,
3,6583,0.25,,
3,4171,0.75,,
3,6641,0.25,,
3,5758,0.5,,
3,6799,0.125,,
3,6741,0.125,,
3,4985,0.5,,
3,4941,0.625,,
3,6313,0.375,,
3,6296,0.375,,
3,4146,0.75,,
3,5790,0.375,,
3,5484,0.625,,
3,6767,0.125,,
3,4051,0.625,,
3,6809,0.125,,
3,6759,0.125,,
3,5924,0.5,,
3,5817,0.5,,
3,4981,0.75,,
3,5572,0.5,,
3,6759,0.125,,
3,4112,0.75,,
3,6673,0.25,,
3,4681,0.875,,
3,6767,0.125,,
3,6760,0.25,,
3,6899,0.125,,
3,6753,0.25,,
3,6551,0.25,,
3,6520,0.25,,
3,4850,0.75,,
3,6813,0.125,,
3,3995,0.625,,
3,6921,0.125,,
3,5308,0.625,,
3,4431,0.625,,
3,6250,0.375,,
3,4961,0.625,,
3,6801,0.25,,
3,5764,0.5,,
3,6313,0.25,,
3,5139,0.375,,
3,6059,0.25,,
3,5867,0.375,,
3,4953,0.625,,
3,5149,0.375,,
3,6799,0.125,,
3,6524,0.125,,
3,6759,0.125,,
3,6481,0.25,,
3,4985,0.875,,
3,5002,0.875,,
3,6663,0.25,,
3,5855,0.375,,
3,6139,0.375,,
3,6054,0.25,,
3,4943,0.625,,
3,5130,0.5,,
3,6795,0.125,,
3,4766,0.75,,
3,6678,0.25,,
3,4786,0.75,,
3,5850,0.375,,
3,6809,0.125,,
3,6813,0.125,,
3,5371,0.625,,
3,6607,0.25,,
3,4809,0.875,,
3,5319,0.625,,
3,6613,0.25,,
3,4675,0.875,,
3,6403,0.375,,
3,6809,0.125,,
3,6436,0.375,,
3,5329,0.625,,
3,5132,0.5,,
3,6524,0.125,,
3,6039,0.375,,
3,6638,0.25,,
3,6743,0.125,,
3,4985,0.5,,
3,5892,0.375,,
3,6444,0.25,,
3,6619,0.25,,
3,5727,0.375,,
3,7004,0.125,,
3,6743,0.125,,
3,5027,0.75,,
3,6271,0.375,,
3,6767,0.125,,
3,5814,0.25,,
3,4137,0.75,,
3,6254,0.375,,
3,6899,0.125,,
3,6344,0.375,,
3,4868,0.5,,
3,6069,0.25,,
3,4383,0.5,,
3,6588,0.25,,
3,6494,0.25,,
3,5542,0.5,,
3,6504,0.125,,
