Tree,EL,FN,,
Astral,126,0.375,,
Astral,129,0.5,,
Astral,105,0.375,,
Astral,106,0.25,,
Astral,103,0.25,,
Astral,121,0.375,,
Astral,122,0.375,,
Astral,454,0.875,,
Astral,362,0.875,,
Astral,332,0.75,,
Astral,372,0.875,,
Astral,372,0.875,,
Astral,254,0.75,,
Astral,229,0.625,,
Astral,176,0.625,,
Astral,152,0.5,,
Astral,118,0.375,,
Astral,123,0.5,,
Astral,103,0.375,,
Astral,103,0.25,,
Astral,106,0.25,,
Astral,125,0.375,,
Astral,124,0.375,,
Phylonet,99,0.25,,
Phylonet,90,0.125,,
Phylonet,103,0.375,,
Phylonet,111,0.375,,
Phylonet,157,0.5,,
Phylonet,158,0.5,,
Phylonet,234,0.625,,
Phylonet,255,0.625,,
Phylonet,334,0.75,,
Phylonet,323,0.75,,
Phylonet,456,0.875,,
Phylonet,466,0.875,,
Phylonet,425,0.75,,
Phylonet,416,0.75,,
Phylonet,562,0.875,,
Phylonet,563,0.875,,
Phylonet,103,0.375,,
Phylonet,111,0.375,,
Phylonet,151,0.5,,
Phylonet,152,0.5,,
Phylonet,191,0.625,,
Phylonet,211,0.625,,
Phylonet,241,0.75,,
Phylonet,253,0.75,,
Phylonet,271,0.875,,
Phylonet,271,0.875,,
Phylonet,271,0.75,,
Phylonet,277,0.75,,
Phylonet,311,0.875,,
Phylonet,311,0.875,,
Phylonet,90,0.125,,
Phylonet,99,0.25,,
Phylonet,109,0.375,,
Phylonet,110,0.375,,
Phylonet,157,0.5,,
Phylonet,178,0.5,,
Phylonet,228,0.625,,
Phylonet,217,0.625,,
Phylonet,321,0.75,,
Phylonet,331,0.75,,
Phylonet,290,0.625,,
Phylonet,281,0.625,,
Phylonet,398,0.75,,
Phylonet,399,0.75,,
Phylonet,99,0.25,,
Phylonet,90,0.125,,
Phylonet,102,0.25,,
Phylonet,103,0.25,,
Phylonet,128,0.375,,
Phylonet,129,0.375,,
Phylonet,153,0.5,,
Phylonet,173,0.5,,
Phylonet,188,0.625,,
Phylonet,200,0.625,,
Phylonet,203,0.75,,
Phylonet,203,0.75,,
Phylonet,203,0.625,,
Phylonet,209,0.625,,
Phylonet,228,0.75,,
Phylonet,228,0.75,,
Phylonet,90,0.125,,
Phylonet,99,0.25,,
Phylonet,111,0.375,,
Phylonet,114,0.375,,
Phylonet,139,0.5,,
Phylonet,140,0.5,,
Phylonet,164,0.625,,
Phylonet,184,0.625,,
Phylonet,199,0.75,,
Phylonet,211,0.75,,
Phylonet,214,0.875,,
Phylonet,214,0.875,,
Phylonet,214,0.75,,
Phylonet,220,0.75,,
Phylonet,239,0.875,,
Phylonet,239,0.875,,
Phylonet,111,0.375,,
Phylonet,103,0.375,,
Phylonet,110,0.375,,
Phylonet,110,0.375,,
Phylonet,109,0.375,,
Phylonet,110,0.375,,
Phylonet,134,0.5,,
Phylonet,154,0.5,,
Phylonet,169,0.625,,
Phylonet,181,0.625,,
Phylonet,184,0.75,,
Phylonet,184,0.75,,
Phylonet,184,0.625,,
Phylonet,190,0.625,,
Phylonet,209,0.75,,
Phylonet,209,0.75,,
Phylonet,103,0.375,,
Phylonet,111,0.375,,
Phylonet,119,0.375,,
Phylonet,121,0.375,,
Phylonet,107,0.375,,
Phylonet,128,0.375,,
